Module,Family,Method,Path,Mutation,Deprecated,Params,Body,Returns,Description,Role,UI,Priority,Wired(FE floor),Live@8000(tested)
"Account Overview","org-accounts","POST","/org-accounts/accounts/{account_name}/suspend","yes","","account_name*","","object","Suspend a managed account (orgadmin only)","ACCOUNTADMIN","Org Accounts › Accounts Suspend","P1","MISSING","mutation (not probed)"
"Account Overview","org-accounts","POST","/org-accounts/accounts/{account_name}/transfer-ownership","yes","","account_name*","TransferOwnershipRequest","object","Transfer account ownership (orgadmin only)","ACCOUNTADMIN","Org Accounts › Accounts Transfer Ownership","P1","MISSING","mutation (not probed)"
"Account Overview","org-accounts","GET","/org-accounts/accounts/audit","","","days","","object","Consolidated per-account audit (credits+storage+queries+logins)","ACCOUNTADMIN","Org Accounts › Accounts Audit","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/alerts","","","days","","object","Alerts","ACCOUNTADMIN","Org Accounts › Alerts","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/anomalies","","","days","","object","Cost / usage anomalies","ACCOUNTADMIN","Org Accounts › Anomalies","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/audit/access-history","","","days, username, object_name, limit","","object","Data access audit trail","ACCOUNTADMIN","Org Accounts › Audit Access History","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/audit/login-history","","","days, username, is_success, limit","","object","Authentication audit trail","ACCOUNTADMIN","Org Accounts › Audit Login History","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/audit/query-history","","","days, username, query_type, min_duration_ms, limit","","object","DQL audit trail from ACCOUNT_USAGE","ACCOUNTADMIN","Org Accounts › Audit Query History","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/automation-overview","","","days","","object","Tasks / automation rollup","ACCOUNTADMIN","Org Accounts › Automation Overview","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/contract","","","","","object","Contract terms / items","ACCOUNTADMIN","Org Accounts › Contract","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/cortex-costs","","","days","","object","Cortex AI cost breakdown","ACCOUNTADMIN","Org Accounts › Cortex Costs","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/cost-simulation/{object_type}/{object_id}","","","object_type*, object_id*, days","","object","Per-object 30-day cost simulation","ACCOUNTADMIN","Org Accounts › Cost Simulation","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/credit-forecast","","","days_back","","object","Credit usage forecast","ACCOUNTADMIN","Org Accounts › Credit Forecast","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/credits","","","days","","object","Org credits aggregate (last N days)","ACCOUNTADMIN","Org Accounts › Credits","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/credits/history/{account_name}","","","account_name*, days","","object","Per-account daily credit history","ACCOUNTADMIN","Org Accounts › Credits History","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/credits/top","","","days, limit","","object","Top credit-consuming accounts","ACCOUNTADMIN","Org Accounts › Credits Top","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/credits/trend","","","days","","object","Daily credit trend","ACCOUNTADMIN","Org Accounts › Credits Trend","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/cross-account/usage","","","days","","object","Cross-account usage costs","ACCOUNTADMIN","Org Accounts › Cross Account Usage","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/dashboard/overview","","","","","object","Org-wide overview aggregate","ACCOUNTADMIN","Org Accounts › Dashboard Overview","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/dashboard/trends","","","days","","object","Org-wide trends (credits + storage)","ACCOUNTADMIN","Org Accounts › Dashboard Trends","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/dashboard/usage","","","days","","object","Credit + storage totals","ACCOUNTADMIN","Org Accounts › Dashboard Usage","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/data-loading-overview","","","days","","object","Data-loading KPI rollup","ACCOUNTADMIN","Org Accounts › Data Loading Overview","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/data-operations-overview","","","days","","object","Data-operations rollup","ACCOUNTADMIN","Org Accounts › Data Operations Overview","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/data-transfer","","","days","","object","Data-transfer usage / cost","ACCOUNTADMIN","Org Accounts › Data Transfer","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/events","","","page, page_size, module, event_type, days","","object","Platform events audit trail","ACCOUNTADMIN","Org Accounts › Events","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/filter-options","","","","","object","Filter options for Command Center","ACCOUNTADMIN","Org Accounts › Filter Options","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/governance-grants-overview","","","days","","object","Grants rollup (governance)","ACCOUNTADMIN","Org Accounts › Governance Grants Overview","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/governance-overview","","","","","object","Governance KPI rollup","ACCOUNTADMIN","Org Accounts › Governance Overview","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/grants-overview","","","days","","object","Grants summary","ACCOUNTADMIN","Org Accounts › Grants Overview","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/health","","","","","object","Health scores","ACCOUNTADMIN","Org Accounts › Health","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/health/{account_name}","","","account_name*","","object","Account health","ACCOUNTADMIN","Org Accounts › Health","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/logins","","","days, limit","","object","Recent login activity (org-wide)","ACCOUNTADMIN","Org Accounts › Logins","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/logins/{account_name}","","","account_name*, days, limit","","object","Per-account login history","ACCOUNTADMIN","Org Accounts › Logins","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/logins/failed","","","days, limit","","object","Failed login attempts","ACCOUNTADMIN","Org Accounts › Logins Failed","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/metering","","","days","","object","Metering per account","ACCOUNTADMIN","Org Accounts › Metering","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/metering/trend","","","days","","object","Daily metering trend","ACCOUNTADMIN","Org Accounts › Metering Trend","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/org-summary","","","days, from, to, role, module, account, username, project_id","","object","Org activity: role → module/project → account","ACCOUNTADMIN","Org Accounts › Org Summary","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/organization/costs","","","days","","object","Org costs by account in currency","ACCOUNTADMIN","Org Accounts › Organization Costs","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/organization/remaining-balance","","","","","object","Org remaining credit balance","ACCOUNTADMIN","Org Accounts › Organization Remaining Balance","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/organization/storage","","","days","","object","Org storage per account","ACCOUNTADMIN","Org Accounts › Organization Storage","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/organization/warehouse-credits","","","days","","object","Org warehouse credits per account","ACCOUNTADMIN","Org Accounts › Organization Warehouse Credits","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/performance-overview","","","days","","object","Performance KPI rollup","ACCOUNTADMIN","Org Accounts › Performance Overview","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/platform-activity","","","days, username, module_name, event_type","","object","Data360 platform activity","ACCOUNTADMIN","Org Accounts › Platform Activity","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/projects-overview","","","days, project_type, username, status, environment","","object","Projects & deployments overview","ACCOUNTADMIN","Org Accounts › Projects Overview","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/queries","","","days","","object","Aggregate query stats (org-wide)","ACCOUNTADMIN","Org Accounts › Queries","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/queries/trend","","","days","","object","Daily query volume trend","ACCOUNTADMIN","Org Accounts › Queries Trend","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/rate-sheet","","","","","object","Credit rate sheet","ACCOUNTADMIN","Org Accounts › Rate Sheet","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/reader-accounts","","","","","object","Reader accounts (managed accounts)","ACCOUNTADMIN","Org Accounts › Reader Accounts","","wired","served (gated)"
"Account Overview","org-accounts","POST","/org-accounts/reader-accounts","yes","","","ReaderAccountCreateRequest","object","Create a reader (managed) account (orgadmin only)","ACCOUNTADMIN","Org Accounts › Reader Accounts","","wired","mutation (not probed)"
"Account Overview","org-accounts","DELETE","/org-accounts/reader-accounts/{account_name}","yes","","account_name*","","object","Drop a reader (managed) account (orgadmin only)","ACCOUNTADMIN","Org Accounts › Reader Accounts","P1","MISSING","mutation (not probed)"
"Account Overview","org-accounts","GET","/org-accounts/replication","","","days","","object","Replication usage / spend","ACCOUNTADMIN","Org Accounts › Replication","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/resource-monitors","","","","","object","List resource monitors","ACCOUNTADMIN","Org Accounts › Resource Monitors","P2","MISSING","served (gated)"
"Account Overview","org-accounts","POST","/org-accounts/resource-monitors","yes","","","ResourceMonitorRequest","object","Create or replace a resource monitor (orgadmin only)","ACCOUNTADMIN","Org Accounts › Resource Monitors","P1","MISSING","mutation (not probed)"
"Account Overview","org-accounts","DELETE","/org-accounts/resource-monitors/{name}","yes","","name*","","object","Drop a resource monitor (orgadmin only)","ACCOUNTADMIN","Org Accounts › Resource Monitors","P1","MISSING","mutation (not probed)"
"Account Overview","org-accounts","POST","/org-accounts/row-timestamps/activate","yes","","database*","","object","Activate row timestamps on all supported tables","ACCOUNTADMIN","Org Accounts › Row Timestamps Activate","P1","MISSING","mutation (not probed)"
"Account Overview","org-accounts","GET","/org-accounts/row-timestamps/status","","","database*, schema","","object","Check row timestamp support per table","ACCOUNTADMIN","Org Accounts › Row Timestamps Status","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/security-overview","","","days","","object","Security posture overview","ACCOUNTADMIN","Org Accounts › Security Overview","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/services/clustering","","","days","","object","Auto-clustering spend","ACCOUNTADMIN","Org Accounts › Services Clustering","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/services/materialized-views","","","days","","object","MV maintenance spend","ACCOUNTADMIN","Org Accounts › Services Materialized Views","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/services/pipes","","","days","","object","Snowpipe spend","ACCOUNTADMIN","Org Accounts › Services Pipes","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/services/query-acceleration","","","days","","object","Query-acceleration spend","ACCOUNTADMIN","Org Accounts › Services Query Acceleration","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/services/search-optimization","","","days","","object","Search-optimization spend","ACCOUNTADMIN","Org Accounts › Services Search Optimization","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/shares","","","","","object","Outbound + inbound shares","ACCOUNTADMIN","Org Accounts › Shares","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/shares/{share_name}","","","share_name*","","object","Per-share detail","ACCOUNTADMIN","Org Accounts › Shares","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/storage/databases","","","","","object","Per-database storage","ACCOUNTADMIN","Org Accounts › Storage Databases","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/storage/stages","","","","","object","Per-account stage storage","ACCOUNTADMIN","Org Accounts › Storage Stages","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/storage/trend","","","days","","object","Daily storage trend (org-wide)","ACCOUNTADMIN","Org Accounts › Storage Trend","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/usage-analytics","","","days","","object","Usage analytics breakdown","ACCOUNTADMIN","Org Accounts › Usage Analytics","P2","MISSING","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/warehouses","","","days","","object","Org-wide warehouse usage","ACCOUNTADMIN","Org Accounts › Warehouses","","wired","served (gated)"
"Account Overview","org-accounts","GET","/org-accounts/warehouses/{account_name}","","","account_name*, days","","object","Per-account warehouse cost","ACCOUNTADMIN","Org Accounts › Warehouses","","wired","served (gated)"
"Account Overview","org-accounts","PATCH","/org-accounts/warehouses/{warehouse_name}/auto-suspend","yes","","warehouse_name*","AutoSuspendRequest","object","Set warehouse auto-suspend timeout (orgadmin only)","ACCOUNTADMIN","Org Accounts › Warehouses Auto-Suspend","P1","MISSING","mutation (not probed)"
"Account Overview","org-accounts","POST","/org-accounts/warehouses/{warehouse_name}/resize","yes","","warehouse_name*","ResizeWarehouseRequest","object","Resize a warehouse (orgadmin only)","ACCOUNTADMIN","Org Accounts › Warehouses Resize","P1","MISSING","mutation (not probed)"
"Account Overview","org-accounts","POST","/org-accounts/warehouses/{warehouse_name}/suspend","yes","","warehouse_name*","","object","Suspend an idle warehouse (orgadmin only)","ACCOUNTADMIN","Org Accounts › Warehouses Suspend","P1","MISSING","mutation (not probed)"
"Administration","admin","GET","/admin/activity-stats","","","days","","object","USER_ACTIVITY events grouped by module/project/user","ACCOUNTADMIN","Administration › Activity Stats","P1","MISSING","served (gated)"
"Administration","admin","GET","/admin/api-health/introspect","","","query_id*","","object","Snowflake query + related events behind a probed api-health call","ACCOUNTADMIN","Administration › API Health Introspect","P1","MISSING","served (gated)"
"Administration","admin","POST","/admin/api-health/runs","yes","","","PersistRunBody","object","Persist an api-health probe sweep as a tracked release run","ACCOUNTADMIN","Administration › API Health Runs","P0","MISSING","mutation (not probed)"
"Administration","admin","GET","/admin/api-health/runs","","","release, limit","","object","Per-run KPIs + per-release rollup/trend for the api-health history","ACCOUNTADMIN","Administration › API Health Runs","P1","MISSING","served (gated)"
"Administration","admin","GET","/admin/api-health/runs/{run_id}","","","run_id*","","object","Stored endpoint rows + summary + slowest-N for one persisted run","ACCOUNTADMIN","Administration › API Health Runs","P1","MISSING","served (gated)"
"Administration","admin","GET","/admin/cache/coverage","","","","","object","Cache warm coverage per account/role + @shared_cache self-check","ACCOUNTADMIN","Administration › Cache Coverage","P1","MISSING","served (gated)"
"Administration","admin","POST","/admin/cache/invalidate-surface","yes","","","InvalidateSurfaceRequest","object","Precisely evict one UI surface for one account (all roles)","ACCOUNTADMIN","Administration › Cache Invalidate Surface","P0","MISSING","mutation (not probed)"
"Administration","admin","GET","/admin/cache/svc-health","","","","","object","Per-account SVC connection health (+ dev-fallback flag)","ACCOUNTADMIN","Administration › Cache Svc Health","P1","MISSING","served (gated)"
"Administration","admin","POST","/admin/cache/warm","yes","","","WarmRequest","object","Trigger a one-account cache warm pass","ACCOUNTADMIN","Administration › Cache Warm","P0","MISSING","mutation (not probed)"
"Administration","admin","GET","/admin/endpoint-usage","","","days, limit","","object","Top API endpoints by request count","ACCOUNTADMIN","Administration › Endpoint Usage","P1","MISSING","served (gated)"
"Administration","admin","GET","/admin/server-metrics","","","","","object","Live in-process server metrics","ACCOUNTADMIN","Administration › Server Metrics","P1","MISSING","served (gated)"
"Administration","admin","GET","/admin/service-account/health","","","","","object","Service Account Health","ACCOUNTADMIN","Administration › Service Account Health","P1","MISSING","served (gated)"
"Administration","admin","GET","/admin/svc-registry","","","","","object","Get Svc Registry","ACCOUNTADMIN","Administration › Svc Registry","P1","MISSING","served (gated)"
"Administration","admin","GET","/admin/usage-by","","","dimension, days","","object","AUDIT_LOG request counts grouped by a dimension","ACCOUNTADMIN","Administration › Usage By","P1","MISSING","served (gated)"
"Administration","administration","GET","/administration/performance/{account}/by-cache","","","account*, axis, hours","","object","Cache hit/miss rollup pivoted on a validated axis","ACCOUNTADMIN","Administration › Performance By Cache","P1","MISSING","served (gated)"
"Administration","administration","GET","/administration/performance/{account}/by-endpoint","","","account*, hours, limit","","object","Per-endpoint (method  path) performance rollup","ACCOUNTADMIN","Administration › Performance By Endpoint","P1","MISSING","served (gated)"
"Administration","administration","GET","/administration/performance/{account}/by-module","","","account*, hours","","object","Per-module performance rollup","ACCOUNTADMIN","Administration › Performance By Module","P1","MISSING","served (gated)"
"Administration","administration","GET","/administration/performance/{account}/by-tab","","","account*, hours, limit","","object","Workload rollup per tab (actions behind each tab)","ACCOUNTADMIN","Administration › Performance By Tab","P1","MISSING","served (gated)"
"Administration","administration","GET","/administration/performance/{account}/by-user","","","account*, hours, limit","","object","Per-user activity rollup","ACCOUNTADMIN","Administration › Performance By User","P1","MISSING","served (gated)"
"Administration","administration","GET","/administration/performance/{account}/errors","","","account*, hours, limit","","object","Most-recent errors and RBAC denials","ACCOUNTADMIN","Administration › Performance Errors","P1","MISSING","served (gated)"
"Administration","administration","GET","/administration/performance/{account}/events","","","account*, hours, module, limit","","object","Data360 events audit (USER_ACTIVITY) by module × type","ACCOUNTADMIN","Administration › Performance Events","P1","MISSING","served (gated)"
"Administration","administration","GET","/administration/performance/{account}/events/feed","","","account*, hours, module, event_type, username, status, limit","","object","Most-recent Data360 events with all columns","ACCOUNTADMIN","Administration › Performance Events","P1","MISSING","served (gated)"
"Administration","administration","GET","/administration/performance/{account}/overview","","","account*, hours","","object","Account-grain performance KPIs (USER_REQUESTS)","ACCOUNTADMIN","Administration › Performance Overview","P1","MISSING","served (gated)"
"Administration","administration","GET","/administration/performance/{account}/tab/{tab}","","","account*, tab*, hours, limit","","object","All workloads behind one tab: endpoints  actions  users","ACCOUNTADMIN","Administration › Performance Tab","P1","MISSING","served (gated)"
"Administration","administration","GET","/administration/performance/{account}/user/{username}","","","account*, username*, hours","","object","Per-user performance drill-down","ACCOUNTADMIN","Administration › Performance User","P1","MISSING","served (gated)"
"Administration","administration","GET","/administration/performance/audit/by-account","","","hours, tab, limit","","object","Endpoint audit by account (super-admin: cross-account)","ACCOUNTADMIN","Administration › Performance Audit","P1","MISSING","served (gated)"
"Administration","administration","GET","/administration/platform-health","","","hours, user, module, limit","","object","Account-grain platform-health KPIs (ACCOUNT_USAGE  caller connection — no SVC needed)","ACCOUNTADMIN","Administration › Platform Health","P1","MISSING","served (gated)"
"analytics","analytics","GET","/analytics/user-activity/summary","","","days","","object","User activity summary KPIs","any","Analytics › User Activity Summary","P2","MISSING","served (gated)"
"BI & Reporting","bi-dashboard","POST","/bi-dashboard","yes","","","BIDashboardCreate","object","Create BI dashboard project","BI_ANALYST","BI Dashboard","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","GET","/bi-dashboard/{dashboard_id}/cost","","","dashboard_id*, days","","object","Per-dashboard query cost (credits/bytes)","BI_ANALYST","BI Dashboard › Cost","P2","MISSING","served (gated)"
"BI & Reporting","bi-dashboard","POST","/bi-dashboard/{dashboard_id}/drill-through","yes","","dashboard_id*","DrillThroughRequest","object","Drill through widget data","BI_ANALYST","BI Dashboard › Drill-Through","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","GET","/bi-dashboard/{project_id}","","","project_id*","","object","Get dashboard design","BI_ANALYST","BI Dashboard","P2","MISSING","served (gated)"
"BI & Reporting","bi-dashboard","PUT","/bi-dashboard/{project_id}","yes","","project_id*","BIDashboardCreate","object","Update dashboard metadata","BI_ANALYST","BI Dashboard","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","DELETE","/bi-dashboard/{project_id}","yes","","project_id*","","object","Delete dashboard project","BI_ANALYST","BI Dashboard","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","GET","/bi-dashboard/{project_id}/export","","","project_id*","","object","Export dashboard config + widget data as JSON","BI_ANALYST","BI Dashboard › Export","P2","MISSING","not-probed"
"BI & Reporting","bi-dashboard","POST","/bi-dashboard/{project_id}/filters","yes","","project_id*","DashboardFilterCreate","object","Add filter","BI_ANALYST","BI Dashboard › Filters","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","GET","/bi-dashboard/{project_id}/filters","","","project_id*, page_id","","object","List filters","BI_ANALYST","BI Dashboard › Filters","P2","MISSING","served (gated)"
"BI & Reporting","bi-dashboard","DELETE","/bi-dashboard/{project_id}/filters/{filter_id}","yes","","project_id*, filter_id*","","object","Delete filter","BI_ANALYST","BI Dashboard › Filters","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","POST","/bi-dashboard/{project_id}/pages","yes","","project_id*","PageCreate","object","Add page","BI_ANALYST","BI Dashboard › Pages","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","GET","/bi-dashboard/{project_id}/pages","","","project_id*","","object","List pages","BI_ANALYST","BI Dashboard › Pages","P2","MISSING","served (gated)"
"BI & Reporting","bi-dashboard","PUT","/bi-dashboard/{project_id}/pages/{page_id}","yes","","project_id*, page_id*","PageUpdate","object","Update page","BI_ANALYST","BI Dashboard › Pages","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","DELETE","/bi-dashboard/{project_id}/pages/{page_id}","yes","","project_id*, page_id*","","object","Delete page","BI_ANALYST","BI Dashboard › Pages","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","POST","/bi-dashboard/{project_id}/publish","yes","","project_id*","","object","Publish dashboard (draft → live)","BI_ANALYST","BI Dashboard › Publish","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","POST","/bi-dashboard/{project_id}/render","yes","","project_id*","DashboardRenderRequest","object","Batch render all widgets on a page","BI_ANALYST","BI Dashboard › Render","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","POST","/bi-dashboard/{project_id}/share","yes","","project_id*","DashboardShareCreate","object","Share dashboard with a user or role","BI_ANALYST","BI Dashboard › Share","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","GET","/bi-dashboard/{project_id}/shares","","","project_id*","","object","List dashboard share grants","BI_ANALYST","BI Dashboard › Shares","P2","MISSING","served (gated)"
"BI & Reporting","bi-dashboard","DELETE","/bi-dashboard/{project_id}/shares/{share_id}","yes","","project_id*, share_id*","","object","Revoke a dashboard share grant","BI_ANALYST","BI Dashboard › Share","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","POST","/bi-dashboard/{project_id}/snapshot","yes","","project_id*","","object","Save dashboard design as version","BI_ANALYST","BI Dashboard › Snapshot","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","GET","/bi-dashboard/{project_id}/status","","","project_id*","","object","Get dashboard publish status","BI_ANALYST","BI Dashboard › Status","P2","MISSING","served (gated)"
"BI & Reporting","bi-dashboard","POST","/bi-dashboard/{project_id}/unpublish","yes","","project_id*","","object","Unpublish dashboard (live → draft)","BI_ANALYST","BI Dashboard › Unpublish","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","POST","/bi-dashboard/{project_id}/widgets","yes","","project_id*","DashboardWidgetCreate","object","Add widget to page","BI_ANALYST","BI Dashboard › Widgets","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","GET","/bi-dashboard/{project_id}/widgets","","","project_id*, page_id","","object","List widgets","BI_ANALYST","BI Dashboard › Widgets","P2","MISSING","served (gated)"
"BI & Reporting","bi-dashboard","PUT","/bi-dashboard/{project_id}/widgets/{widget_id}","yes","","project_id*, widget_id*","DashboardWidgetUpdate","object","Update widget","BI_ANALYST","BI Dashboard › Widgets","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","DELETE","/bi-dashboard/{project_id}/widgets/{widget_id}","yes","","project_id*, widget_id*","","object","Delete widget","BI_ANALYST","BI Dashboard › Widgets","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","POST","/bi-dashboard/auto-create","yes","","","AutoCreateRequest","object","Auto-create dashboard from table or schema","BI_ANALYST","BI Dashboard › Auto-Create","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","POST","/bi-dashboard/charts/data","yes","","","ChartConfig","object","Get chart data","BI_ANALYST","BI Dashboard › Charts Data","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","POST","/bi-dashboard/nl-to-chart","yes","","","NlToChartRequest","object","Generate chart from natural language","BI_ANALYST","BI Dashboard › NL-to-Chart","P1","MISSING","mutation (not probed)"
"BI & Reporting","bi-dashboard","GET","/bi-dashboard/retail-kpis","","","database, schema, days","","object","Get retail KPIs","BI_ANALYST","BI Dashboard › Retail Kpis","P2","MISSING","served (gated)"
"BI & Reporting","bi-dashboard","GET","/bi-dashboard/templates","","","","","object","List dashboard templates","BI_ANALYST","BI Dashboard › Templates","P2","MISSING","served (gated)"
"cache-stream","cache-stream","GET","/cache-stream/available-keys","","","","","object","Available cache keys","ACCOUNTADMIN","Administration › Available Keys","P2","MISSING","not-probed"
"cache-stream","cache-stream","GET","/cache-stream/last-invalidation/{cache_key}","","","cache_key*","","object","Last invalidation time","ACCOUNTADMIN","Administration › Last Invalidation","P2","MISSING","not-probed"
"cache-stream","cache-stream","GET","/cache-stream/stats","","","","","object","Cache stream stats","ACCOUNTADMIN","Administration › Stats","P2","MISSING","not-probed"
