Block Type,Category,Frontend Keys,Template Keys,Normalization,Template SQL,Legacy Aliases,Notes
json_construct,Transform Advanced,"columns[], output_column","construct_pairs, output_column, input","columns[] → 'col1', col1, 'col2', col2 pairs","SELECT *, OBJECT_CONSTRUCT({construct_pairs}) AS {output_column} FROM {input}",,Build JSON object
pivot,Transform Advanced,"agg_function, value_column, pivot_column, pivot_values","agg_function, value_column, pivot_column, pivot_values, input",None,"SELECT * FROM {input} PIVOT({agg_function}({value_column}) FOR {pivot_column} IN ({pivot_values}))",,Rows to columns
unpivot,Transform Advanced,"value_column_name, name_column_name, unpivot_columns","value_column_name, name_column_name, unpivot_columns, input",None,"SELECT * FROM {input} UNPIVOT({value_column_name} FOR {name_column_name} IN ({unpivot_columns}))",,Columns to rows
date_transform,Transform Advanced,"column, operation, date_part, interval, second_column, output_column","date_expression, output_column, input","operation+column+date_part+interval → DATEADD/DATEDIFF/DATE_TRUNC/etc","SELECT *, {date_expression} AS {output_column} FROM {input}",,Date operations
time_slice,Transform Advanced,"column, slice_length, slice_unit, output_column","column, slice_length, slice_unit, output_column, input",None,"SELECT *, TIME_SLICE({column}, {slice_length}, '{slice_unit}') AS {output_column} FROM {input}",,Time bucketing
fill_nulls,Transform Advanced,"column, strategy, fill_value, order_column","column, fill_expression, input","strategy → COALESCE expression (VALUE/FORWARD_FILL/BACKWARD_FILL/MEAN/MEDIAN)","SELECT * EXCLUDE ({column}), {fill_expression} AS {column} FROM {input}",,NULL replacement
case_when,Transform Advanced,"conditions[], else_value, output_column","case_conditions, output_column, input","conditions[] → WHEN x THEN y chain + ELSE","SELECT *, CASE {case_conditions} END AS {output_column} FROM {input}",,Conditional CASE logic
split_column,Transform Advanced,"column, delimiter, output_columns[]","split_expressions, input","column+delimiter+output_columns → SPLIT_PART expressions","SELECT *, {split_expressions} FROM {input}",,Split column by delimiter
destination,Destination,"database, schema, table, write_mode","destination_columns_str, input","database→database_name, schema→schema_name, destination_columns_str defaults to *","SELECT {destination_columns_str} FROM {input}",,Write to Snowflake table
export_file,Destination,"stage_name, file_name, file_format","stage_name, file_name, file_format, input",None,"COPY INTO @{stage_name}/{file_name} FROM ({input}) FILE_FORMAT=(TYPE='{file_format}')",,Export to stage file
dynamic_table,Destination,"table_name, target_lag, warehouse, query","database_name, schema_name, table_name, target_lag, warehouse, query","database→database_name, schema→schema_name","CREATE OR REPLACE DYNAMIC TABLE ... TARGET_LAG='{target_lag}' WAREHOUSE={warehouse} AS {query}",,Auto-refresh materialized table
sql_script,Python / UDF,sql_code,sql_code,None,{sql_code},,Raw SQL execution
python_script,Python / UDF,"database, schema, proc_name","database_name, schema_name, proc_name","database→database_name, schema→schema_name","CALL {database_name}.{schema_name}.{proc_name}()",,Call Snowpark procedure
notebook_run,Python / UDF,"database, schema, notebook_name","database_name, schema_name, notebook_name","database→database_name, schema→schema_name","EXECUTE NOTEBOOK ""{database_name}"".""{schema_name}"".""{notebook_name}""",,Execute Snowflake notebook
create_udf,Python / UDF,"function_name, input_columns, return_type, function_body, language, packages","database_name, schema_name, function_name, input_columns, return_type, language, packages, function_body","database→database_name, schema→schema_name","CREATE OR REPLACE FUNCTION ... ({input_columns}) RETURNS {return_type} LANGUAGE {language} ...",,Create Python/SQL UDF
create_procedure,Python / UDF,"procedure_name, input_columns, procedure_body, return_type","database_name, schema_name, procedure_name, input_columns, return_type, procedure_body","database→database_name, schema→schema_name","CREATE OR REPLACE PROCEDURE ... ({input_columns}) RETURNS {return_type} ...",,Create Snowpark procedure
apply_udf,Python / UDF,"model_name, input_columns, output_column","model_name, input_columns, output_column, input",None,"SELECT *, {model_name}({input_columns}) AS {output_column} FROM {input}",,Apply UDF to column
finetune,ML Training,"base_model, training_table, model_name","base_model, training_table, model_name",validation_table defaults to training_table,"SELECT SNOWFLAKE.CORTEX.FINETUNE('CREATE', '{base_model}', '{training_table}', '{training_table}', '{model_name}')",,Fine-tune Cortex LLM
classification_train,ML Training,"training_table, target_column, database, schema, model_name","database_name, schema_name, model_name, training_table, target_column","database→database_name, schema→schema_name","CREATE OR REPLACE SNOWFLAKE.ML.CLASSIFICATION ... TARGET_COLNAME => '{target_column}'",,Train classification model
anomaly_detect,ML Training,"training_table, timestamp_column, target_column, database, schema, model_name","database_name, schema_name, model_name, training_table, timestamp_column, target_column","database→database_name, schema→schema_name","CREATE OR REPLACE SNOWFLAKE.ML.ANOMALY_DETECTION ...",,Train anomaly detection
forecast,ML Training,"training_table, timestamp_column, target_column, database, schema, model_name","database_name, schema_name, model_name, training_table, timestamp_column, target_column","database→database_name, schema→schema_name","CREATE OR REPLACE SNOWFLAKE.ML.FORECAST ...",,Train forecast model
document_ai,ML Training,"model, input_column, output_column","model, input_column, output_column, input",None,"SELECT *, SNOWFLAKE.ML.DOCUMENT_AI!PREDICT(...) AS {output_column} FROM {input}",,Parse documents with AI
ai_classify,AI Functions,"input_column, categories, model, output_column","input_column, labels, output_column, input","categories (multiline) → labels (quoted for ARRAY_CONSTRUCT)","SELECT *, AI_CLASSIFY({input_column}, ARRAY_CONSTRUCT({labels})) AS {output_column} FROM {input}",,Classify text into categories
ai_sentiment,AI Functions,"text_column, model, output_column","text_column, output_column, input",Default: output_column=sentiment_score,"SELECT *, AI_SENTIMENT({text_column}) AS {output_column} FROM {input}",,Sentiment analysis (-1 to 1)
ai_translate,AI Functions,"text_column, source_lang, target_lang, model, output_column","text_column, source_lang, target_lang, output_column, input","Defaults: source_lang=en, target_lang=en","SELECT *, AI_TRANSLATE({text_column}, '{source_lang}', '{target_lang}') AS {output_column} FROM {input}",,Translate text between languages
ai_extract,AI Functions,"input_column, extract_keys[], model, output_column","input_column, fields, output_column, input","extract_keys → fields (quoted pairs for OBJECT_CONSTRUCT)","SELECT *, AI_EXTRACT({input_column}, OBJECT_CONSTRUCT({fields})) AS {output_column} FROM {input}",,Extract structured data from text
ai_embed,AI Functions,"text_column, model, output_column","model, text_column, output_column, input",Default: model=mistral-large2,"SELECT *, AI_EMBED('{model}', {text_column}) AS {output_column} FROM {input}",,Generate vector embeddings
ai_complete,AI Functions,"prompt_template, model, max_tokens, output_column","model, prompt_template, output_column, input",Default: model=mistral-large2,"SELECT *, AI_COMPLETE('{model}', '{prompt_template}') AS {output_column} FROM {input}",,LLM text completion
ai_filter,AI Functions,"filter_prompt, text_column","filter_prompt, text_column, input",None,"SELECT * FROM {input} WHERE AI_FILTER(OBJECT_CONSTRUCT('query', '{filter_prompt}', 'input', {text_column}))",,Filter rows using AI
ai_agg,AI Functions,"text_column, aggregation_prompt, group_column, output_column","text_column, aggregation_prompt, group_column, output_column, input",None,"SELECT *, SNOWFLAKE.CORTEX.AI_AGG({text_column}, '{aggregation_prompt}') OVER (PARTITION BY {group_column}) AS {output_column} FROM {input}",,AI text summarization per group
ai_parse_document,AI Functions,"stage, file","stage, file",None,"SELECT AI_PARSE_DOCUMENT('@{stage}/{file}', 'LAYOUT') AS doc_json",,Parse document layout
ai_transcribe,AI Functions,"stage, file","stage, file",None,"SELECT AI_TRANSCRIBE('@{stage}/{file}') AS transcript",,Transcribe audio
ai_redact,AI Functions,"text_column, categories, replacement, output_column","text_column, categories, replacement, output_column, input",Default: replacement=[REDACTED],"SELECT *, AI_REDACT({text_column}, ARRAY_CONSTRUCT({categories}), '{replacement}') AS {output_column} FROM {input}",,Redact sensitive data
ai_count_tokens,AI Functions,"text_column, model, output_column","model, text_column, output_column, input",Default: model=mistral-large2,"SELECT *, AI_COUNT_TOKENS('{model}', {text_column}) AS {output_column} FROM {input}",,Count tokens for model
cdc_merge,CDC,"stream_name, target_table, merge_keys, update_columns","target_table, stream_name, merge_key_conditions, update_set_clause","merge_keys → ON conditions, update_columns → SET clause","MERGE INTO {target_table} t USING (SELECT * FROM {stream_name}) s ON {merge_key_conditions} WHEN MATCHED THEN UPDATE SET {update_set_clause} WHEN NOT MATCHED THEN INSERT *",,CDC merge from stream
copy_into,Advanced SQL,"target_table, stage, pattern, format","target_table, stage, pattern, format",None,"COPY INTO {target_table} FROM @{stage}/{pattern} FILE_FORMAT = (TYPE = {format})",,Bulk load from stage
merge,Advanced SQL,"target, source, join_condition, update_cols, cols, vals","target, source, join_condition, update_cols, cols, vals",None,"MERGE INTO {target} t USING {source} s ON {join_condition} ...",,Generic MERGE statement
flatten,Advanced SQL,"field, alias, column","field, alias, column, input",None,"SELECT t.*, f.value:{field}::VARCHAR AS {alias} FROM {input} t, LATERAL FLATTEN(input => t.{column}) f",,Flatten variant column
qualify,Advanced SQL,"partition, order","partition, order, input",None,"SELECT * FROM {input} QUALIFY ROW_NUMBER() OVER (PARTITION BY {partition} ORDER BY {order}) = 1",,Keep first row per partition
fuzzy_match,Advanced SQL,"source_column, target_column, threshold","source_column, target_column, threshold, input",None,"SELECT a.*, b.*, EDITDISTANCE(a.{source_column}, b.{target_column}) AS match_distance FROM {input} a CROSS JOIN {input} b WHERE ... <= {threshold}",,Fuzzy string matching
json_path_extract,Advanced SQL,"json_column, json_path","json_column, json_path, input",None,"SELECT *, JSON_EXTRACT_PATH_TEXT({json_column}, {json_path}) AS extracted_value FROM {input}",,Extract JSON path value
qualify_filter,Advanced SQL,"partition_columns, order_column","partition_columns, order_column, input",None,"SELECT * FROM (...) QUALIFY rn = 1",,Dedup with qualify
correlation,Advanced SQL,"column_a, column_b","column_a, column_b, input",None,"SELECT *, CORR({column_a}, {column_b}) OVER () AS correlation, COVAR_SAMP(...) OVER () AS covariance FROM {input}",,Statistical correlation
histogram,Advanced SQL,"column, num_buckets","column, num_buckets, input","min_val/max_val hardcoded to 0/1000000","SELECT *, COUNT(*) OVER (PARTITION BY WIDTH_BUCKET({column}, 0, 1000000, {num_buckets})) AS frequency, ... FROM {input}",,Frequency distribution
recursive_cte,Advanced SQL,"id_column, parent_column, name_column, source_table","id_column, parent_column, name_column, source_table",None,"WITH RECURSIVE hierarchy AS (...) SELECT * FROM hierarchy",,Recursive hierarchy
compute_pool,Infrastructure,"pool_name, min_nodes, max_nodes, instance_family","pool_name, min_nodes, max_nodes, instance_family",None,"CREATE COMPUTE POOL IF NOT EXISTS {pool_name} ...",,Create compute pool
container_service,Infrastructure,"service_name, compute_pool, stage, spec_file","service_name, compute_pool, stage, spec_file",None,"CREATE SERVICE IF NOT EXISTS {service_name} IN COMPUTE POOL {compute_pool} ...",,Create container service
git_file,Data Engineering,"database, schema, stage_name, file_path","database_name, schema_name, stage_name, file_path","database→database_name, schema→schema_name","SELECT $1 FROM @{database_name}.{schema_name}.{stage_name}/{file_path}",,Read from git stage
ml_forecast,ML Blocks,"model_name, input_sql, timestamp_column, value_column","model_name, input_sql, timestamp_column, value_column",None,"CREATE OR REPLACE SNOWFLAKE.ML.FORECAST {model_name}(...)",,Query-based forecast
ml_anomaly,ML Blocks,"model_name, input_sql, timestamp_column, value_column","model_name, input_sql, timestamp_column, value_column",None,"CREATE OR REPLACE SNOWFLAKE.ML.ANOMALY_DETECTION {model_name}(...)",,Query-based anomaly detection
